umidade,pH,temperatura,irrigacao,fertilizante,produtividade
36,6.41,30,18,8,61.06
45,5.9,26,6,6,38.23
46,6.75,20,13,2,39.26
34,6.58,35,8,7,31.49
33,5.66,31,16,5,48.25
27,6.68,21,17,6,49.91
31,6.83,31,13,2,37.8
23,6.02,20,18,7,43.46
20,6.16,21,20,3,45.1
34,6.06,26,17,2,53.78
59,6.9,31,20,10,82.69
45,6.03,35,8,2,35.22
56,7.43,33,7,9,44.64
56,6.07,28,15,3,61.06
32,6.14,23,6,5,27.24
30,6.21,22,19,10,59.06
28,6.2,34,18,6,47.82
26,5.53,23,15,7,47.63
55,6.28,33,11,2,43.96
30,7.21,30,6,9,31.91
43,6.04,33,18,2,53.22
52,6.74,20,15,10,58.22
60,7.13,33,8,4,45.04
39,7.41,24,8,10,38.95
43,6.43,31,6,10,44.27
25,5.5,33,18,3,42.73
36,5.55,21,7,8,31.02
54,6.0,35,16,10,58.27
42,6.56,32,18,9,62.19
59,5.55,28,13,9,66.54
60,7.01,27,15,5,67.72
36,6.86,33,15,8,56.6
28,7.1,34,15,6,46.97
24,5.76,33,7,4,21.62
21,6.72,25,16,2,43.2
30,6.71,28,10,5,39.99
46,5.94,23,20,10,67.69
20,6.92,28,13,3,37.26
20,7.0,34,8,7,22.03
30,7.39,31,6,8,29.82
47,6.48,34,5,8,36.46
23,6.82,22,5,4,15.26
54,6.85,23,9,3,37.71
44,7.01,33,10,10,45.55
21,6.76,29,20,5,56.99
53,6.44,24,8,9,47.8
53,6.36,30,7,6,44.31
20,7.33,32,18,10,49.38
58,7.36,28,13,2,52.13
35,6.29,29,14,7,49.79
20,6.35,31,15,9,53.35
59,6.38,34,11,6,48.63
46,5.56,22,10,7,38.46
32,6.56,29,6,10,44.33
42,7.06,28,7,3,35.25
42,5.94,35,9,10,41.39
29,7.12,29,16,5,49.89
29,5.78,35,18,6,46.19
26,7.2,27,8,9,37.26
31,7.45,22,17,4,39.19
38,6.61,29,16,3,54.55
31,5.54,21,17,10,49.93
29,7.48,22,11,8,38.32
42,6.98,20,10,7,41.38
30,5.74,24,10,10,40.76
32,7.19,31,10,5,38.87
34,7.1,35,11,7,35.26
30,7.49,31,18,10,56.92
40,7.08,27,11,8,45.37
30,7.13,30,10,9,44.96
38,5.92,20,9,7,39.66
54,6.8,26,10,5,53.3
52,6.54,21,14,6,55.87
26,6.91,28,16,3,49.29
58,6.86,26,14,10,64.28
44,5.54,27,15,3,54.2
56,6.02,32,9,9,50.37
48,6.65,26,6,6,41.88
24,5.84,20,20,7,45.05
55,6.11,20,6,3,29.87
31,7.23,24,15,4,40.52
34,7.04,26,20,4,62.06
52,7.11,31,7,2,33.28
25,6.73,28,11,2,37.27
23,6.02,29,8,3,32.51
24,6.65,22,19,3,49.32
50,6.94,31,20,10,76.33
21,7.42,25,12,8,38.98
25,5.75,23,15,2,34.75
48,7.26,21,7,10,43.99
